Frame,TPS,ThreadCount
1,0.00,1
2,0.00,1
3,0.00,1
4,0.00,1
5,0.00,1
6,5.56,1
7,5.56,1
8,5.56,1
9,5.56,1
10,5.56,1
11,5.56,1
12,5.56,1
13,5.56,1
14,5.56,1
15,5.56,1
16,9.89,1
17,9.89,1
18,9.89,1
19,9.89,1
20,9.89,1
21,9.89,1
22,9.89,1
23,9.89,1
24,9.89,1
25,9.89,1
26,9.98,1
27,9.98,1
28,9.98,1
29,9.98,1
30,9.98,1
31,9.98,1
32,9.98,1
33,9.98,1
34,9.98,1
35,9.98,1
36,9.98,1
37,10.04,1
38,10.04,1
39,10.04,1
40,10.04,1
41,10.04,1
42,10.04,1
43,10.04,1
44,10.04,1
45,10.04,1
46,10.04,1
47,10.04,1
48,10.24,1
49,10.24,1
50,10.24,1
51,10.24,1
52,10.24,1
53,10.24,1
54,10.24,1
55,10.24,1
56,10.24,1
57,10.24,1
58,10.24,1
59,10.17,1
60,10.17,1
61,10.17,1
62,10.17,1
63,10.17,1
64,10.17,1
65,10.17,1
66,10.17,1
67,10.17,1
68,10.17,1
69,9.90,1
70,9.90,1
71,9.90,1
72,9.90,1
73,9.90,1
74,9.90,1
75,9.90,1
76,9.90,1
77,9.90,1
78,9.90,1
79,9.90,1
80,10.03,1
81,10.03,1
82,10.03,1
83,10.03,1
84,10.03,1
85,10.03,1
86,10.03,1
87,10.03,1
88,10.03,1
89,10.03,1
90,10.03,1
91,10.16,1
92,10.16,1
93,10.16,1
94,10.16,1
95,10.16,1
96,10.16,1
97,10.16,1
98,10.16,1
99,10.16,1
100,10.16,1
101,9.83,1
102,9.83,1
103,9.83,1
104,9.83,1
105,9.83,1
106,9.83,1
107,9.83,1
108,9.83,1
109,9.83,1
110,9.83,1
111,9.83,1
112,10.09,1
113,10.09,1
114,10.09,1
115,10.09,1
116,10.09,1
117,10.09,1
118,10.09,1
119,10.09,1
120,10.09,1
121,10.09,1
122,10.09,1
123,10.08,1
124,10.08,1
125,10.08,1
126,10.08,1
127,10.08,1
128,10.08,1
129,10.08,1
130,10.08,1
131,10.08,1
132,10.08,1
133,9.85,1
134,9.85,1
135,9.85,1
136,9.85,1
137,9.85,1
138,9.85,1
139,9.85,1
140,9.85,1
141,9.85,1
142,9.85,1
143,9.85,1
144,9.85,1
145,9.85,1
146,9.85,1
147,9.85,1
148,9.85,1
149,9.85,1
150,9.85,1
151,9.85,1
152,9.85,1
153,9.66,1
154,9.66,1
155,9.66,1
156,9.66,1
157,9.66,1
158,9.66,1
159,9.66,1
160,9.66,1
161,9.66,1
162,9.66,1
163,9.66,1
164,9.97,1
165,9.97,1
166,9.97,1
167,9.97,1
168,9.97,1
169,9.97,1
170,9.97,1
171,9.97,1
172,9.97,1
173,9.97,1
174,9.97,1
175,10.15,1
176,10.15,1
177,10.15,1
178,10.15,1
179,10.15,1
180,10.15,1
181,10.15,1
182,10.15,1
183,10.15,1
184,10.15,1
185,10.15,1
186,10.27,1
187,10.27,1
188,10.27,1
189,10.27,1
190,10.27,1
191,10.27,1
192,10.27,1
193,10.27,1
194,10.27,1
195,10.27,1
196,10.27,1
197,10.32,1
198,10.32,1
199,10.32,1
200,10.32,1
201,10.32,1
202,10.32,1
203,10.32,1
204,10.32,1
205,10.32,1
206,10.32,1
207,10.32,1
208,10.34,1
209,10.34,1
210,10.34,1
211,10.34,1
212,10.34,1
213,10.34,1
214,10.34,1
215,10.34,1
216,10.34,1
217,10.34,1
218,10.34,1
219,10.57,1
220,10.57,1
221,10.57,1
222,10.57,1
223,10.57,1
224,10.57,1
225,10.57,1
226,10.57,1
227,10.57,1
228,10.57,1
229,10.57,1
230,10.35,1
231,10.35,1
232,10.35,1
233,10.35,1
234,10.35,1
235,10.35,1
236,10.35,1
237,10.35,1
238,10.35,1
239,10.35,1
240,10.35,1
241,10.61,1
242,10.61,1
243,10.61,1
244,10.61,1
245,10.61,1
246,10.61,1
247,10.61,1
248,10.61,1
249,10.61,1
250,10.61,1
251,10.61,1
252,10.55,1
253,10.55,1
254,10.55,1
255,10.55,1
256,10.55,1
257,10.55,1
258,10.55,1
259,10.55,1
260,10.55,1
261,10.55,1
262,10.55,1
263,10.57,1
264,10.57,1
265,10.57,1
266,10.57,1
267,10.57,1
268,10.57,1
269,10.57,1
270,10.57,1
271,10.57,1
272,10.57,1
273,10.57,1
274,10.49,1
275,10.49,1
276,10.49,1
277,10.49,1
278,10.49,1
279,10.49,1
280,10.49,1
281,10.49,1
282,10.49,1
283,10.49,1
284,10.49,1
285,10.51,1
286,10.51,1
287,10.51,1
288,10.51,1
289,10.51,1
290,10.51,1
291,10.51,1
292,10.51,1
293,10.51,1
294,10.51,1
295,10.51,1
296,10.49,1
297,10.49,1
298,10.49,1
299,10.49,1
300,10.49,1
301,10.49,1
302,10.49,1
303,10.49,1
304,10.49,1
305,10.49,1
306,10.49,1
307,10.52,1
308,10.52,1
309,10.52,1
310,10.52,1
311,10.52,1
312,10.52,1
313,10.52,1
314,10.52,1
315,10.52,1
316,10.52,1
317,10.52,1
318,10.52,1
319,10.52,1
320,10.52,1
321,10.52,1
322,10.52,1
323,10.52,1
324,10.52,1
325,10.52,1
326,10.52,1
327,10.52,1
328,10.52,1
329,10.53,1
330,10.53,1
331,10.53,1
332,10.53,1
333,10.53,1
334,10.53,1
335,10.53,1
336,10.53,1
337,10.53,1
338,10.53,1
339,10.53,1
340,10.27,1
341,10.27,1
342,10.27,1
343,10.27,1
344,10.27,1
345,10.27,1
